ID,y,y_predict_LR,y_predict_KNR,y_predict_DTR,y_predict_RFR
12846070,18990,15816.826888223644,19313.459340887788,14968.916666666666,20330.6065999076
12797229,179888,62329.68509210972,83929.16414418937,162990.0,174091.32
12721663,59990,63932.96975462884,74560.96014948962,69703.38983050847,74621.47491713715
12752348,48989,53446.05299139442,38830.13536975876,62951.666666666664,56238.340032512315
12848352,52999,46317.03203124786,53365.530081415825,94956.0,69484.04036080586
12807872,38227,66339.74215265922,43245.43067027239,42738.80952380953,39753.80304960317
12815096,32990,40642.532104459126,28319.82242657448,38959.0,36324.47014642994
12800292,81990,41618.32433354948,45550.33429669889,70842.1052631579,72213.34707692308
12724313,39990,40422.373093395494,42967.73563108231,36999.0,39182.69
12813355,18990,41147.13514127163,36000.64312061645,22978.0,26535.96239386181
12721629,44990,47411.111240338534,35571.10863577229,37237.78378378379,36952.089923036525
12804957,33999,40794.06982686743,23297.001051693278,32935.0,31514.13
12850737,89990,72287.13372927904,43842.883238616145,94990.0,92777.19
12835130,29990,57262.861149637494,40523.64721464974,43500.0,32053.398636363636
12833544,45888,44840.25268583838,67286.26095894455,46888.0,44652.67611111111
12825037,33888,44216.705375856254,33471.85679822985,34046.8125,33912.53192379689
12777400,51990,54163.952101187315,63924.1535279085,61184.083333333336,60534.68283985215
12695430,93990,80771.64839598397,83990.0,79993.33333333333,83234.43
12805376,23950,40969.2945680744,37803.05838885152,30486.25,26193.362380952378
12792278,23999,30361.25342190219,25564.55936853205,27148.125,27189.51685391006
12823736,69900,71242.68319419771,75215.85922861302,82075.36363636363,69901.33505644355
12807643,52980,44598.592386341654,55854.906071326,63440.69696969697,60626.871469909915
12722594,7000,-24481.53384826472,12940.628017797568,12580.681818181818,12099.54
12690069,94800,69587.27496193675,103921.42469706562,46990.0,79759.71
12784071,5990,-543.3980075512081,14642.37449300947,9574.5,9336.588321964584
12790064,99850,59448.056222982705,68529.57319861681,88880.0,91090.03583333333
12756128,25990,32004.229513113853,30378.318554078447,27237.44827586207,26382.581908811826
12715950,18500,25825.98772750236,15969.56838196643,18499.333333333332,18085.97720614941
12807770,16990,44262.929760861676,39435.1751740494,18160.0,18174.35
12813500,2990,-29113.94955156045,18090.805252199265,3990.0,4768.25
12805043,5000,10258.163046490867,24140.037525403637,4962.666666666667,5766.304301211
12824919,31990,35366.5929030953,31741.465697735977,28513.25,29797.013652164176
12823771,43888,46194.16908361064,36505.244280165905,49939.0,46334.27645238095
12849076,47990,53968.58388299821,37463.1650615491,45552.87425149701,45820.6323157771
12830356,21800,-7730.875799952541,14361.362672733207,15000.0,12827.873417366947
12748208,33913,39286.42299175542,28737.947864112844,39593.125,36491.336689784446
12717876,8990,-3353.3444328638725,23321.328693806914,8377.0,8638.883388888888
12751692,4250,-5127.319943499751,12418.510991528783,8684.142857142857,7819.869055555556
